H  1.000E+00
He 7.722E-02
C  3.357E-04
N  9.594E-05
O  7.559E-04
F  3.537E-08
Na 2.338E-06
Mg 3.870E-05
Al 2.989E-06
Si 4.306E-05
P  3.037E-07
S  1.676E-05
Cl 3.032E-07
K  1.375E-07
Ca 2.347E-06
Ti 1.123E-07
Cr 5.169E-07
Mn 2.446E-07
Fe 2.406E-05
