Wavelength     Transit Depth       Err_Transit Depth   Resolution          
3.745190       0.0113277810        0.0041732564        195.941055          
3.764285       0.0038444404        0.0018412116        197.134590          
3.783380       0.0017239656        0.0008771428        198.134590          
3.802977       0.0022413009        0.0004360389        194.054216          
3.822072       0.0016894801        0.0002259001        200.160906          
3.841168       0.0014228780        0.0001149289        201.160906          
3.861267       0.0015562064        0.0000644026        192.102861          
3.880362       0.0014941189        0.0000435260        203.213538          
3.899458       0.0015839518        0.0000342450        204.213538          
3.919055       0.0015633330        0.0000321777        199.977293          
3.939155       0.0015538740        0.0000306924        195.977861          
3.959255       0.0015401683        0.0000306858        196.977861          
3.979355       0.0016366221        0.0000308780        197.977861          
3.999455       0.0015941530        0.0000304274        198.977861          
4.020058       0.0015565516        0.0000314924        195.124742          
4.040158       0.0015616573        0.0000317715        201.002861          
4.060258       0.0016354513        0.0000320661        202.002861          
4.081363       0.0015840932        0.0000316019        193.383677          
4.101965       0.0016217140        0.0000319295        199.100352          
4.123070       0.0016632208        0.0000322655        195.359867          
4.144175       0.0017052809        0.0000326207        196.359867          
4.165280       0.0017244102        0.0000330020        197.359867          
4.186385       0.0016482114        0.0000334123        198.359867          
4.207992       0.0017714950        0.0000338386        194.746847          
4.229097       0.0017995695        0.0000334627        200.383677          
4.251207       0.0018197801        0.0000347341        192.275328          
4.272312       0.0018508350        0.0000351903        202.431296          
4.293418       0.0018543150        0.0000348208        203.431296          
4.316030       0.0018763008        0.0000352981        190.869210          
4.338140       0.0018592787        0.0000357999        196.207146          
4.360250       0.0018675094        0.0000363328        197.207146          
4.382360       0.0018190931        0.0000361187        198.207146          
4.404973       0.0018974144        0.0000375449        194.802543          
4.427083       0.0018331567        0.0000381165        200.229873          
4.449193       0.0018391139        0.0000386459        201.229873          
4.472307       0.0018192956        0.0000382758        193.480748          
4.494417       0.0016892760        0.0000395968        203.275328          
4.517030       0.0017916912        0.0000392545        199.758098          
4.540145       0.0017500550        0.0000397871        196.415531          
4.563260       0.0017444276        0.0000403738        197.415531          
4.586375       0.0017133732        0.0000409725        198.415531          
4.609992       0.0017731200        0.0000416079        195.193924          
4.633108       0.0017849005        0.0000414357        200.437270          
4.657227       0.0017452202        0.0000422370        193.085717          
4.681347       0.0016910391        0.0000430486        194.085717          
4.705970       0.0017937291        0.0000437791        191.124784          
4.730090       0.0017210417        0.0000444453        196.106551          
4.754210       0.0017336333        0.0000451653        197.106551          
4.778330       0.0017100177        0.0000450298        198.106551          
4.802952       0.0017656852        0.0000467819        195.063560          
4.828077       0.0017388672        0.0000466499        192.162289          
4.852197       0.0017309834        0.0000485353        201.169051          
4.876317       0.0017188554        0.0000496886        202.169051          
4.900940       0.0016921684        0.0000502067        199.043152          
4.926065       0.0017096532        0.0000520599        196.062289          
4.951190       0.0017754421        0.0000470861        197.062289          
4.998425       0.0017562059        0.0000694256        105.820366          
