Wavelength     Transit Depth       Err_Transit Depth   Resolution          
3.745190       -0.0004786331       0.0041724184        195.941055          
3.764285       0.0027037432        0.0018408367        197.134590          
3.783380       0.0008064711        0.0008769556        198.134590          
3.802977       0.0023324942        0.0004359397        194.054216          
3.822072       0.0022230862        0.0002258451        200.160906          
3.841168       0.0019689838        0.0001148992        201.160906          
3.861267       0.0018526465        0.0000643851        192.102861          
3.880362       0.0019040358        0.0000435140        203.213538          
3.899458       0.0018925311        0.0000342356        204.213538          
3.919055       0.0019574233        0.0000321690        199.977293          
3.939155       0.0019521704        0.0000306841        195.977861          
3.959255       0.0019277461        0.0000306775        196.977861          
3.979355       0.0019408347        0.0000308698        197.977861          
3.999455       0.0019754665        0.0000304195        198.977861          
4.020058       0.0019379980        0.0000314842        195.124742          
4.040158       0.0019944466        0.0000317632        201.002861          
4.060258       0.0019313256        0.0000320578        202.002861          
4.081363       0.0019480185        0.0000315937        193.383677          
4.101965       0.0019127291        0.0000319211        199.100352          
4.123070       0.0020090826        0.0000322567        195.359867          
4.144175       0.0019857742        0.0000326117        196.359867          
4.165280       0.0020485437        0.0000329929        197.359867          
4.186385       0.0020485916        0.0000334034        198.359867          
4.207992       0.0020936109        0.0000338298        194.746847          
4.229097       0.0020993320        0.0000334541        200.383677          
4.251207       0.0021771839        0.0000347254        192.275328          
4.272312       0.0021441405        0.0000351820        202.431296          
4.293418       0.0021248639        0.0000348128        203.431296          
4.316030       0.0021878488        0.0000352903        190.869210          
4.338140       0.0021542193        0.0000357920        196.207146          
4.360250       0.0021907008        0.0000363247        197.207146          
4.382360       0.0021146578        0.0000361105        198.207146          
4.404973       0.0022450564        0.0000375366        194.802543          
4.427083       0.0021814592        0.0000381078        200.229873          
4.449193       0.0021591797        0.0000386369        201.229873          
4.472307       0.0020334492        0.0000382671        193.480748          
4.494417       0.0021395323        0.0000395874        203.275328          
4.517030       0.0021629749        0.0000392446        199.758098          
4.540145       0.0021199166        0.0000397765        196.415531          
4.563260       0.0021494253        0.0000403625        197.415531          
4.586375       0.0021478527        0.0000409607        198.415531          
4.609992       0.0021579985        0.0000415950        195.193924          
4.633108       0.0022029745        0.0000414221        200.437270          
4.657227       0.0021448502        0.0000422228        193.085717          
4.681347       0.0021518640        0.0000430340        194.085717          
4.705970       0.0021807863        0.0000437640        191.124784          
4.730090       0.0022256355        0.0000444303        196.106551          
4.754210       0.0021950700        0.0000451505        197.106551          
4.778330       0.0021167120        0.0000450144        198.106551          
4.802952       0.0022496380        0.0000467662        195.063560          
4.828077       0.0022289664        0.0000466342        192.162289          
4.852197       0.0022331849        0.0000485187        201.169051          
4.876317       0.0021947302        0.0000496717        202.169051          
4.900940       0.0021420244        0.0000501895        199.043152          
4.926065       0.0021779297        0.0000520416        196.062289          
4.951190       0.0022190465        0.0000470696        197.062289          
4.998425       0.0022929999        0.0000694013        105.820366          
