Wavelength     Transit Depth       Err_Transit Depth   Resolution          
3.745190       0.0041774997        0.0041728573        195.941055          
3.764285       0.0017029539        0.0018410324        197.134590          
3.783380       0.0020547110        0.0008770552        198.134590          
3.802977       0.0012777270        0.0004359924        194.054216          
3.822072       0.0017973958        0.0002258739        200.160906          
3.841168       0.0016927166        0.0001149146        201.160906          
3.861267       0.0017889380        0.0000643943        192.102861          
3.880362       0.0018066999        0.0000435203        203.213538          
3.899458       0.0017367864        0.0000342406        204.213538          
3.919055       0.0017348001        0.0000321735        199.977293          
3.939155       0.0017489346        0.0000306884        195.977861          
3.959255       0.0018218015        0.0000306817        196.977861          
3.979355       0.0017553661        0.0000308740        197.977861          
3.999455       0.0017781229        0.0000304234        198.977861          
4.020058       0.0017812858        0.0000314881        195.124742          
4.040158       0.0018161287        0.0000317671        201.002861          
4.060258       0.0018182320        0.0000320617        202.002861          
4.081363       0.0018136796        0.0000315973        193.383677          
4.101965       0.0018539873        0.0000319249        199.100352          
4.123070       0.0018576232        0.0000322607        195.359867          
4.144175       0.0018744039        0.0000326157        196.359867          
4.165280       0.0018979024        0.0000329966        197.359867          
4.186385       0.0019024431        0.0000334064        198.359867          
4.207992       0.0020116180        0.0000338321        194.746847          
4.229097       0.0020695117        0.0000334558        200.383677          
4.251207       0.0021213040        0.0000347265        192.275328          
4.272312       0.0021063826        0.0000351823        202.431296          
4.293418       0.0021385457        0.0000348127        203.431296          
4.316030       0.0022189705        0.0000352898        190.869210          
4.338140       0.0021948795        0.0000357915        196.207146          
4.360250       0.0020823565        0.0000363243        197.207146          
4.382360       0.0021937117        0.0000361104        198.207146          
4.404973       0.0021314291        0.0000375364        194.802543          
4.427083       0.0020629546        0.0000381080        200.229873          
4.449193       0.0021137562        0.0000386374        201.229873          
4.472307       0.0021367364        0.0000382676        193.480748          
4.494417       0.0021142830        0.0000395886        203.275328          
4.517030       0.0019852471        0.0000392466        199.758098          
4.540145       0.0020502742        0.0000397794        196.415531          
4.563260       0.0020542141        0.0000403662        197.415531          
4.586375       0.0019578482        0.0000409650        198.415531          
4.609992       0.0020561184        0.0000416003        195.193924          
4.633108       0.0019572663        0.0000414281        200.437270          
4.657227       0.0020103656        0.0000422292        193.085717          
4.681347       0.0019564023        0.0000430406        194.085717          
4.705970       0.0019523873        0.0000437709        191.124784          
4.730090       0.0019672498        0.0000444370        196.106551          
4.754210       0.0019765800        0.0000451571        197.106551          
4.778330       0.0020455603        0.0000450215        198.106551          
4.802952       0.0020254277        0.0000467733        195.063560          
4.828077       0.0020208985        0.0000466414        192.162289          
4.852197       0.0019328445        0.0000485265        201.169051          
4.876317       0.0019682627        0.0000496795        202.169051          
4.900940       0.0020966479        0.0000501975        199.043152          
4.926065       0.0019842200        0.0000520502        196.062289          
4.951190       0.0019902914        0.0000470773        197.062289          
4.998425       0.0020377195        0.0000694127        105.820366          
