Wavelength     Transit Depth       Err_Transit Depth   Resolution          
3.745190       0.0076486929        0.0041724524        195.941055          
3.764285       0.0021318040        0.0018408524        197.134590          
3.783380       0.0033360207        0.0008769639        198.134590          
3.802977       0.0017791578        0.0004359440        194.054216          
3.822072       0.0020083995        0.0002258474        200.160906          
3.841168       0.0019556103        0.0001149005        201.160906          
3.861267       0.0019136727        0.0000643859        192.102861          
3.880362       0.0019205767        0.0000435145        203.213538          
3.899458       0.0019742862        0.0000342361        204.213538          
3.919055       0.0019144283        0.0000321694        199.977293          
3.939155       0.0019172543        0.0000306845        195.977861          
3.959255       0.0019235583        0.0000306779        196.977861          
3.979355       0.0019138033        0.0000308701        197.977861          
3.999455       0.0019431545        0.0000304198        198.977861          
4.020058       0.0019713876        0.0000314844        195.124742          
4.040158       0.0019593570        0.0000317634        201.002861          
4.060258       0.0019401402        0.0000320580        202.002861          
4.081363       0.0019686984        0.0000315938        193.383677          
4.101965       0.0019910569        0.0000319212        199.100352          
4.123070       0.0020584392        0.0000322568        195.359867          
4.144175       0.0020057491        0.0000326118        196.359867          
4.165280       0.0020143789        0.0000329930        197.359867          
4.186385       0.0020907893        0.0000334036        198.359867          
4.207992       0.0020833826        0.0000338300        194.746847          
4.229097       0.0021198938        0.0000334544        200.383677          
4.251207       0.0021042783        0.0000347259        192.275328          
4.272312       0.0021711048        0.0000351825        202.431296          
4.293418       0.0021551127        0.0000348133        203.431296          
4.316030       0.0020910220        0.0000352908        190.869210          
4.338140       0.0020722869        0.0000357925        196.207146          
4.360250       0.0021443206        0.0000363251        197.207146          
4.382360       0.0021471817        0.0000361109        198.207146          
4.404973       0.0020714675        0.0000375370        194.802543          
4.427083       0.0021327098        0.0000381082        200.229873          
4.449193       0.0021596219        0.0000386372        201.229873          
4.472307       0.0021061005        0.0000382674        193.480748          
4.494417       0.0021273353        0.0000395876        203.275328          
4.517030       0.0020914552        0.0000392447        199.758098          
4.540145       0.0021274923        0.0000397766        196.415531          
4.563260       0.0021167841        0.0000403628        197.415531          
4.586375       0.0020382319        0.0000409609        198.415531          
4.609992       0.0021902792        0.0000415953        195.193924          
4.633108       0.0021337876        0.0000414224        200.437270          
4.657227       0.0022190867        0.0000422230        193.085717          
4.681347       0.0022177938        0.0000430343        194.085717          
4.705970       0.0021991164        0.0000437643        191.124784          
4.730090       0.0022422491        0.0000444305        196.106551          
4.754210       0.0020963364        0.0000451507        197.106551          
4.778330       0.0022297330        0.0000450145        198.106551          
4.802952       0.0021068812        0.0000467663        195.063560          
4.828077       0.0022096732        0.0000466344        192.162289          
4.852197       0.0021455411        0.0000485189        201.169051          
4.876317       0.0021281052        0.0000496719        202.169051          
4.900940       0.0022672012        0.0000501897        199.043152          
4.926065       0.0022432262        0.0000520418        196.062289          
4.951190       0.0021814643        0.0000470697        197.062289          
4.998425       0.0022028010        0.0000694016        105.820366          
