Wavelength     Transit Depth       Err_Transit Depth   Resolution          
3.745190       0.0002860034        0.0041733920        195.941055          
3.764285       0.0010583279        0.0018412725        197.134590          
3.783380       0.0003816604        0.0008771726        198.134590          
3.802977       0.0013327088        0.0004360547        194.054216          
3.822072       0.0016366512        0.0002259090        200.160906          
3.841168       0.0016576174        0.0001149338        201.160906          
3.861267       0.0014285292        0.0000644054        192.102861          
3.880362       0.0014283236        0.0000435279        203.213538          
3.899458       0.0015198164        0.0000342466        204.213538          
3.919055       0.0014905483        0.0000321792        199.977293          
3.939155       0.0015101611        0.0000306938        195.977861          
3.959255       0.0015186671        0.0000306871        196.977861          
3.979355       0.0015456771        0.0000308794        197.977861          
3.999455       0.0015264848        0.0000304288        198.977861          
4.020058       0.0015038382        0.0000314938        195.124742          
4.040158       0.0015509125        0.0000317729        201.002861          
4.060258       0.0015149367        0.0000320677        202.002861          
4.081363       0.0015999190        0.0000316035        193.383677          
4.101965       0.0015858770        0.0000319311        199.100352          
4.123070       0.0015653314        0.0000322672        195.359867          
4.144175       0.0015692055        0.0000326224        196.359867          
4.165280       0.0015787719        0.0000330038        197.359867          
4.186385       0.0016369945        0.0000334143        198.359867          
4.207992       0.0016105788        0.0000338408        194.746847          
4.229097       0.0017476209        0.0000334650        200.383677          
4.251207       0.0017967527        0.0000347366        192.275328          
4.272312       0.0017060293        0.0000351929        202.431296          
4.293418       0.0017489423        0.0000348234        203.431296          
4.316030       0.0017787493        0.0000353008        190.869210          
4.338140       0.0017386756        0.0000358027        196.207146          
4.360250       0.0017686454        0.0000363356        197.207146          
4.382360       0.0017812774        0.0000361215        198.207146          
4.404973       0.0017064749        0.0000375477        194.802543          
4.427083       0.0017137286        0.0000381193        200.229873          
4.449193       0.0018222433        0.0000386487        201.229873          
4.472307       0.0017485729        0.0000382785        193.480748          
4.494417       0.0017026288        0.0000395996        203.275328          
4.517030       0.0017337599        0.0000392572        199.758098          
4.540145       0.0017066433        0.0000397897        196.415531          
4.563260       0.0016222283        0.0000403763        197.415531          
4.586375       0.0015872834        0.0000409750        198.415531          
4.609992       0.0016092927        0.0000416104        195.193924          
4.633108       0.0016806857        0.0000414383        200.437270          
4.657227       0.0016131670        0.0000422396        193.085717          
4.681347       0.0016737712        0.0000430512        194.085717          
4.705970       0.0016242869        0.0000437818        191.124784          
4.730090       0.0015926643        0.0000444480        196.106551          
4.754210       0.0016204525        0.0000451680        197.106551          
4.778330       0.0016698914        0.0000450326        198.106551          
4.802952       0.0016931542        0.0000467848        195.063560          
4.828077       0.0016440867        0.0000466527        192.162289          
4.852197       0.0016047861        0.0000485383        201.169051          
4.876317       0.0016771146        0.0000496917        202.169051          
4.900940       0.0016117130        0.0000502097        199.043152          
4.926065       0.0015991485        0.0000520631        196.062289          
4.951190       0.0017329806        0.0000470890        197.062289          
4.998425       0.0016377599        0.0000694298        105.820366          
