Wavelength     Transit Depth       Err_Transit Depth   Resolution          
3.745190       0.0066579613        0.0041722990        195.941055          
3.764285       0.0043715793        0.0018407814        197.134590          
3.783380       0.0035548597        0.0008769266        198.134590          
3.802977       0.0016621726        0.0004359241        194.054216          
3.822072       0.0015784247        0.0002258364        200.160906          
3.841168       0.0019461777        0.0001148944        201.160906          
3.861267       0.0019043120        0.0000643821        192.102861          
3.880362       0.0019717046        0.0000435119        203.213538          
3.899458       0.0019953567        0.0000342340        204.213538          
3.919055       0.0020312969        0.0000321675        199.977293          
3.939155       0.0019562731        0.0000306827        195.977861          
3.959255       0.0020178850        0.0000306761        196.977861          
3.979355       0.0019724688        0.0000308684        197.977861          
3.999455       0.0019770037        0.0000304182        198.977861          
4.020058       0.0019756557        0.0000314829        195.124742          
4.040158       0.0020036884        0.0000317620        201.002861          
4.060258       0.0020512014        0.0000320567        202.002861          
4.081363       0.0020507143        0.0000315928        193.383677          
4.101965       0.0020301331        0.0000319203        199.100352          
4.123070       0.0020107395        0.0000322560        195.359867          
4.144175       0.0020636729        0.0000326111        196.359867          
4.165280       0.0020836676        0.0000329923        197.359867          
4.186385       0.0021158233        0.0000334025        198.359867          
4.207992       0.0021758334        0.0000338285        194.746847          
4.229097       0.0022290812        0.0000334525        200.383677          
4.251207       0.0022254429        0.0000347234        192.275328          
4.272312       0.0021801645        0.0000351797        202.431296          
4.293418       0.0023335035        0.0000348104        203.431296          
4.316030       0.0022303946        0.0000352878        190.869210          
4.338140       0.0022267397        0.0000357896        196.207146          
4.360250       0.0023408019        0.0000363223        197.207146          
4.382360       0.0023177539        0.0000361084        198.207146          
4.404973       0.0022095445        0.0000375344        194.802543          
4.427083       0.0022197025        0.0000381058        200.229873          
4.449193       0.0022158371        0.0000386351        201.229873          
4.472307       0.0021715192        0.0000382655        193.480748          
4.494417       0.0021522015        0.0000395860        203.275328          
4.517030       0.0022134165        0.0000392434        199.758098          
4.540145       0.0021955981        0.0000397753        196.415531          
4.563260       0.0021733995        0.0000403612        197.415531          
4.586375       0.0021406358        0.0000409591        198.415531          
4.609992       0.0022451752        0.0000415935        195.193924          
4.633108       0.0022546528        0.0000414208        200.437270          
4.657227       0.0021743935        0.0000422214        193.085717          
4.681347       0.0022652203        0.0000430327        194.085717          
4.705970       0.0022237234        0.0000437628        191.124784          
4.730090       0.0022313726        0.0000444291        196.106551          
4.754210       0.0021493364        0.0000451494        197.106551          
4.778330       0.0022017144        0.0000450137        198.106551          
4.802952       0.0022340579        0.0000467653        195.063560          
4.828077       0.0022602700        0.0000466332        192.162289          
4.852197       0.0021699404        0.0000485176        201.169051          
4.876317       0.0023178800        0.0000496705        202.169051          
4.900940       0.0021289090        0.0000501884        199.043152          
4.926065       0.0022618732        0.0000520406        196.062289          
4.951190       0.0022586941        0.0000470688        197.062289          
4.998425       0.0021772141        0.0000694003        105.820366          
