Wavelength     Transit Depth       Err_Transit Depth   Resolution          
2.412310       0.0017969889        0.0000797612        196.398593          
2.425123       0.0017374062        0.0000566295        189.277854          
2.437183       0.0018561364        0.0000441117        202.088101          
2.450248       0.0018397319        0.0000414981        187.542863          
2.462308       0.0018375507        0.0000401124        204.171434          
2.474368       0.0018928650        0.0000396806        205.171434          
2.486428       0.0019126031        0.0000393088        206.171434          
2.499493       0.0019006687        0.0000377264        191.312093          
2.512055       0.0018291390        0.0000376026        199.964577          
2.525120       0.0018748790        0.0000373004        193.273632          
2.538185       0.0019252366        0.0000368837        194.273632          
2.551250       0.0019578426        0.0000366025        195.273632          
2.564315       0.0019752549        0.0000364258        196.273632          
2.577380       0.0019219507        0.0000361810        197.273632          
2.590445       0.0019016367        0.0000355494        198.273632          
2.604013       0.0019428375        0.0000348946        191.930164          
2.617078       0.0019318261        0.0000346883        200.312093          
2.630142       0.0019804839        0.0000346178        201.312093          
2.643207       0.0019822029        0.0000344528        202.312093          
2.656273       0.0019656847        0.0000329716        203.312093          
2.670342       0.0019927899        0.0000339954        189.789801          
2.683407       0.0019584831        0.0000338326        205.389016          
2.696473       0.0019762757        0.0000324598        206.389016          
2.710040       0.0020290192        0.0000334634        199.744979          
2.724110       0.0020481327        0.0000320254        193.611230          
2.738180       0.0019449199        0.0000318986        194.611230          
2.752250       0.0019237936        0.0000307998        195.611230          
2.766320       0.0019687485        0.0000330658        196.611230          
2.780390       0.0019844979        0.0000316688        197.611230          
2.794460       0.0019945156        0.0000302697        198.611230          
2.809032       0.0019699554        0.0000311261        192.762566          
2.823103       0.0020513872        0.0000310480        200.646944          
2.838178       0.0019469045        0.0000299362        188.270481          
2.852247       0.0019886715        0.0000309171        202.718372          
2.866318       0.0019889973        0.0000308339        203.718372          
2.881393       0.0019973779        0.0000297229        191.137148          
2.895462       0.0019864439        0.0000307215        205.789801          
2.910035       0.0020493339        0.0000296961        199.693601          
2.925110       0.0019985642        0.0000296872        194.037148          
2.940185       0.0019724736        0.0000297112        195.037148          
2.955260       0.0019973994        0.0000297415        196.037148          
2.970335       0.0019135270        0.0000297281        197.037148          
2.985410       0.0019781661        0.0000296390        198.037148          
3.000987       0.0019411633        0.0000294896        192.648853          
3.016062       0.0019207125        0.0000293756        200.070481          
3.031137       0.0019181673        0.0000293314        201.070481          
3.046213       0.0019239206        0.0000293787        202.070481          
3.061288       0.0019506607        0.0000294611        203.070481          
3.076363       0.0019062232        0.0000285402        204.070481          
3.092443       0.0018625855        0.0000284779        192.316076          
3.108020       0.0019209984        0.0000293625        199.519820          
3.124100       0.0018858339        0.0000283599        194.284826          
3.140180       0.0018808990        0.0000274865        195.284826          
3.156260       0.0017970903        0.0000292476        196.284826          
3.172340       0.0018556250        0.0000283004        197.284826          
3.188420       0.0018362306        0.0000274321        198.284826          
3.205002       0.0019147091        0.0000283054        193.276195          
3.221083       0.0017841049        0.0000283627        200.316076          
3.237163       0.0018689086        0.0000284132        201.316076          
3.254247       0.0018064033        0.0000276102        190.473954          
3.270328       0.0018167446        0.0000284805        203.378576          
3.286408       0.0017806358        0.0000276208        204.378576          
3.303995       0.0018365801        0.0000276562        187.860412          
3.321080       0.0018535923        0.0000276700        194.385718          
3.338165       0.0018004928        0.0000276612        195.385718          
3.355250       0.0018212297        0.0000276280        196.385718          
3.372335       0.0018491310        0.0000275867        197.385718          
3.389420       0.0017695155        0.0000275613        198.385718          
3.407008       0.0017608313        0.0000276227        193.717555          
3.424092       0.0018039464        0.0000277132        200.415130          
3.441177       0.0017903146        0.0000270050        201.415130          
3.459268       0.0017702832        0.0000270555        191.225401          
3.477358       0.0017241924        0.0000270687        192.225401          
3.495448       0.0017650783        0.0000270760        193.225401          
3.513035       0.0017853818        0.0000279344        199.746127          
3.531125       0.0017328302        0.0000272243        195.197623          
3.549215       0.0017347143        0.0000273365        196.197623          
3.567305       0.0017576161        0.0000274474        197.197623          
3.585395       0.0017818556        0.0000268034        198.197623          
3.603988       0.0017682630        0.0000276208        193.840930          
3.623083       0.0017510624        0.0000269700        189.739853          
3.641173       0.0017116988        0.0000278112        201.280956          
3.660267       0.0016885029        0.0000271825        191.687222          
3.678358       0.0016739973        0.0000280439        203.336512          
3.697452       0.0017020378        0.0000274356        193.634590          
3.716045       0.0016545741        0.0000276079        199.867958          
3.735140       0.0016739097        0.0000277590        195.608274          
3.754235       0.0016675942        0.0000279089        196.608274          
3.773330       0.0016864005        0.0000280682        197.608274          
3.792425       0.0016819808        0.0000282510        198.608274          
3.812022       0.0016990713        0.0000277639        194.515755          
3.832123       0.0017043344        0.0000287568        190.652861          
3.851218       0.0016661901        0.0000290544        201.687222          
3.870312       0.0016436261        0.0000293725        202.687222          
3.889407       0.0016436466        0.0000289489        203.687222          
3.909005       0.0016717090        0.0000300058        199.464473          
3.929105       0.0016631394        0.0000295391        195.477861          
3.949205       0.0016461432        0.0000300588        196.477861          
3.969305       0.0016889655        0.0000313381        197.477861          
3.989405       0.0016722609        0.0000340779        198.477861          
4.010008       0.0016649389        0.0000426451        194.636937          
4.031113       0.0016405773        0.0000555569        191.002724          
4.052218       0.0016002154        0.0000824563        192.002724          
4.072318       0.0014711456        0.0001347731        202.602861          
4.093422       0.0015494362        0.0002270724        193.955105          
4.114025       0.0023570695        0.0004385162        199.685718          
4.135130       0.0027964516        0.0009562714        195.931296          
4.156235       0.0001609907        0.0021720452        196.931296          
4.177340       0.0034376705        0.0053747154        197.931296          
4.219550       0.0013809229        0.0252120184        99.965648           
