Wavelength     Transit Depth       Err_Transit Depth   Resolution          
2.412310       0.0018084265        0.0000797538        196.398593          
2.425123       0.0018855633        0.0000566240        189.277854          
2.437183       0.0019280467        0.0000441073        202.088101          
2.450248       0.0019345254        0.0000414938        187.542863          
2.462308       0.0019520441        0.0000401082        204.171434          
2.474368       0.0019787620        0.0000396762        205.171434          
2.486428       0.0019859171        0.0000393044        206.171434          
2.499493       0.0020097607        0.0000377221        191.312093          
2.512055       0.0021700458        0.0000375981        199.964577          
2.525120       0.0020933897        0.0000372959        193.273632          
2.538185       0.0021326983        0.0000368792        194.273632          
2.551250       0.0022140670        0.0000365979        195.273632          
2.564315       0.0021504855        0.0000364212        196.273632          
2.577380       0.0021211802        0.0000361766        197.273632          
2.590445       0.0020828007        0.0000355450        198.273632          
2.604013       0.0020847534        0.0000348903        191.930164          
2.617078       0.0020812166        0.0000346841        200.312093          
2.630142       0.0021187114        0.0000346135        201.312093          
2.643207       0.0020858329        0.0000344486        202.312093          
2.656273       0.0021349290        0.0000329675        203.312093          
2.670342       0.0021450788        0.0000339910        189.789801          
2.683407       0.0021765715        0.0000338282        205.389016          
2.696473       0.0021703083        0.0000324555        206.389016          
2.710040       0.0022291909        0.0000334589        199.744979          
2.724110       0.0022053112        0.0000320212        193.611230          
2.738180       0.0021678472        0.0000318945        194.611230          
2.752250       0.0021690980        0.0000307959        195.611230          
2.766320       0.0021952148        0.0000330615        196.611230          
2.780390       0.0021502009        0.0000316647        197.611230          
2.794460       0.0021211660        0.0000302657        198.611230          
2.809032       0.0021496318        0.0000311220        192.762566          
2.823103       0.0022189434        0.0000310439        200.646944          
2.838178       0.0021600623        0.0000299323        188.270481          
2.852247       0.0021975104        0.0000309131        202.718372          
2.866318       0.0020909095        0.0000308300        203.718372          
2.881393       0.0021423033        0.0000297191        191.137148          
2.895462       0.0021437883        0.0000307175        205.789801          
2.910035       0.0021960405        0.0000296923        199.693601          
2.925110       0.0021035831        0.0000296834        194.037148          
2.940185       0.0021355243        0.0000297075        195.037148          
2.955260       0.0021429380        0.0000297378        196.037148          
2.970335       0.0021067670        0.0000297244        197.037148          
2.985410       0.0020964862        0.0000296354        198.037148          
3.000987       0.0021125652        0.0000294860        192.648853          
3.016062       0.0021038075        0.0000293721        200.070481          
3.031137       0.0020322475        0.0000293279        201.070481          
3.046213       0.0020987738        0.0000293752        202.070481          
3.061288       0.0020844591        0.0000294577        203.070481          
3.076363       0.0020556393        0.0000285370        204.070481          
3.092443       0.0020784967        0.0000284747        192.316076          
3.108020       0.0020625819        0.0000293592        199.519820          
3.124100       0.0020322375        0.0000283568        194.284826          
3.140180       0.0020171899        0.0000274835        195.284826          
3.156260       0.0020077337        0.0000292444        196.284826          
3.172340       0.0019931279        0.0000282974        197.284826          
3.188420       0.0019822327        0.0000274293        198.284826          
3.205002       0.0019441849        0.0000283024        193.276195          
3.221083       0.0019968983        0.0000283598        200.316076          
3.237163       0.0019942996        0.0000284103        201.316076          
3.254247       0.0019787175        0.0000276074        190.473954          
3.270328       0.0019609010        0.0000284776        203.378576          
3.286408       0.0019361604        0.0000276181        204.378576          
3.303995       0.0019064700        0.0000276535        187.860412          
3.321080       0.0019810156        0.0000276673        194.385718          
3.338165       0.0019316067        0.0000276584        195.385718          
3.355250       0.0019216535        0.0000276253        196.385718          
3.372335       0.0019604618        0.0000275840        197.385718          
3.389420       0.0019872506        0.0000275586        198.385718          
3.407008       0.0019192137        0.0000276200        193.717555          
3.424092       0.0019406318        0.0000277106        200.415130          
3.441177       0.0019047914        0.0000270025        201.415130          
3.459268       0.0019027007        0.0000270529        191.225401          
3.477358       0.0018951603        0.0000270661        192.225401          
3.495448       0.0019071477        0.0000270734        193.225401          
3.513035       0.0019258884        0.0000279318        199.746127          
3.531125       0.0018889925        0.0000272218        195.197623          
3.549215       0.0018969513        0.0000273341        196.197623          
3.567305       0.0018306142        0.0000274450        197.197623          
3.585395       0.0018571571        0.0000268011        198.197623          
3.603988       0.0019043533        0.0000276184        193.840930          
3.623083       0.0018612018        0.0000269677        189.739853          
3.641173       0.0018106871        0.0000278089        201.280956          
3.660267       0.0017903728        0.0000271803        191.687222          
3.678358       0.0018510299        0.0000280416        203.336512          
3.697452       0.0018436819        0.0000274334        193.634590          
3.716045       0.0018168802        0.0000276057        199.867958          
3.735140       0.0017174926        0.0000277568        195.608274          
3.754235       0.0017655475        0.0000279067        196.608274          
3.773330       0.0017426143        0.0000280661        197.608274          
3.792425       0.0018033931        0.0000282489        198.608274          
3.812022       0.0018217059        0.0000277617        194.515755          
3.832123       0.0017375674        0.0000287546        190.652861          
3.851218       0.0018179970        0.0000290523        201.687222          
3.870312       0.0017595265        0.0000293703        202.687222          
3.889407       0.0017463121        0.0000289467        203.687222          
3.909005       0.0017435687        0.0000300036        199.464473          
3.929105       0.0018067048        0.0000295369        195.477861          
3.949205       0.0018062780        0.0000300565        196.477861          
3.969305       0.0017776171        0.0000313358        197.477861          
3.989405       0.0017787810        0.0000340754        198.477861          
4.010008       0.0017778487        0.0000426419        194.636937          
4.031113       0.0018742752        0.0000555527        191.002724          
4.052218       0.0018078325        0.0000824501        192.002724          
4.072318       0.0017589550        0.0001347632        202.602861          
4.093422       0.0018840975        0.0002270566        193.955105          
4.114025       0.0013931765        0.0004384875        199.685718          
4.135130       0.0034204261        0.0009562116        195.931296          
4.156235       0.0023841067        0.0021719096        196.931296          
4.177340       0.0099023486        0.0053743459        197.931296          
4.219550       -0.0297016948       0.0252101154        99.965648           
