Wavelength     Transit Depth       Err_Transit Depth   Resolution          
2.412310       0.0020467860        0.0000797414        196.398593          
2.425123       0.0020320789        0.0000566150        189.277854          
2.437183       0.0021547704        0.0000441001        202.088101          
2.450248       0.0021930964        0.0000414868        187.542863          
2.462308       0.0022892456        0.0000401013        204.171434          
2.474368       0.0022129563        0.0000396691        205.171434          
2.486428       0.0022276708        0.0000392972        206.171434          
2.499493       0.0023063015        0.0000377149        191.312093          
2.512055       0.0024622085        0.0000375906        199.964577          
2.525120       0.0023566429        0.0000372884        193.273632          
2.538185       0.0023764881        0.0000368716        194.273632          
2.551250       0.0023988890        0.0000365901        195.273632          
2.564315       0.0024804364        0.0000364134        196.273632          
2.577380       0.0024143344        0.0000361690        197.273632          
2.590445       0.0024230501        0.0000355377        198.273632          
2.604013       0.0023378037        0.0000348833        191.930164          
2.617078       0.0023338552        0.0000346773        200.312093          
2.630142       0.0024267709        0.0000346069        201.312093          
2.643207       0.0022760028        0.0000344421        202.312093          
2.656273       0.0023441384        0.0000329614        203.312093          
2.670342       0.0024585808        0.0000339846        189.789801          
2.683407       0.0024106178        0.0000338215        205.389016          
2.696473       0.0024498822        0.0000324490        206.389016          
2.710040       0.0024645135        0.0000334522        199.744979          
2.724110       0.0023751696        0.0000320148        193.611230          
2.738180       0.0024203496        0.0000318885        194.611230          
2.752250       0.0023973578        0.0000307901        195.611230          
2.766320       0.0023987813        0.0000330551        196.611230          
2.780390       0.0024181488        0.0000316584        197.611230          
2.794460       0.0023991968        0.0000302598        198.611230          
2.809032       0.0024854111        0.0000311156        192.762566          
2.823103       0.0024681195        0.0000310377        200.646944          
2.838178       0.0024600268        0.0000299262        188.270481          
2.852247       0.0024886955        0.0000309069        202.718372          
2.866318       0.0023570452        0.0000308239        203.718372          
2.881393       0.0023997846        0.0000297132        191.137148          
2.895462       0.0024385910        0.0000307113        205.789801          
2.910035       0.0024025678        0.0000296862        199.693601          
2.925110       0.0024018066        0.0000296775        194.037148          
2.940185       0.0023707800        0.0000297017        195.037148          
2.955260       0.0023981563        0.0000297321        196.037148          
2.970335       0.0023983598        0.0000297188        197.037148          
2.985410       0.0023488876        0.0000296299        198.037148          
3.000987       0.0023724611        0.0000294806        192.648853          
3.016062       0.0023548981        0.0000293669        200.070481          
3.031137       0.0022711127        0.0000293227        201.070481          
3.046213       0.0023435516        0.0000293700        202.070481          
3.061288       0.0022914684        0.0000294527        203.070481          
3.076363       0.0022833071        0.0000285322        204.070481          
3.092443       0.0022962762        0.0000284699        192.316076          
3.108020       0.0022722213        0.0000293542        199.519820          
3.124100       0.0022604591        0.0000283521        194.284826          
3.140180       0.0022549332        0.0000274788        195.284826          
3.156260       0.0021916485        0.0000292394        196.284826          
3.172340       0.0022100134        0.0000282926        197.284826          
3.188420       0.0022821376        0.0000274245        198.284826          
3.205002       0.0021949374        0.0000282974        193.276195          
3.221083       0.0022343052        0.0000283549        200.316076          
3.237163       0.0021942892        0.0000284055        201.316076          
3.254247       0.0021340233        0.0000276028        190.473954          
3.270328       0.0022283393        0.0000284729        203.378576          
3.286408       0.0021477979        0.0000276135        204.378576          
3.303995       0.0022321389        0.0000276486        187.860412          
3.321080       0.0022066873        0.0000276619        194.385718          
3.338165       0.0022465017        0.0000276530        195.385718          
3.355250       0.0022034235        0.0000276201        196.385718          
3.372335       0.0021758142        0.0000275790        197.385718          
3.389420       0.0021731825        0.0000275537        198.385718          
3.407008       0.0021759890        0.0000276151        193.717555          
3.424092       0.0020893047        0.0000277056        200.415130          
3.441177       0.0021470860        0.0000269976        201.415130          
3.459268       0.0021770446        0.0000270481        191.225401          
3.477358       0.0021497163        0.0000270614        192.225401          
3.495448       0.0021143224        0.0000270687        193.225401          
3.513035       0.0021685701        0.0000279270        199.746127          
3.531125       0.0021026832        0.0000272171        195.197623          
3.549215       0.0021116616        0.0000273294        196.197623          
3.567305       0.0021017763        0.0000274403        197.197623          
3.585395       0.0020820820        0.0000267966        198.197623          
3.603988       0.0020574463        0.0000276139        193.840930          
3.623083       0.0020002759        0.0000269634        189.739853          
3.641173       0.0020487311        0.0000278046        201.280956          
3.660267       0.0020514617        0.0000271761        191.687222          
3.678358       0.0020845698        0.0000280374        203.336512          
3.697452       0.0019737220        0.0000274293        193.634590          
3.716045       0.0019880283        0.0000276016        199.867958          
3.735140       0.0020157286        0.0000277527        195.608274          
3.754235       0.0019414658        0.0000279026        196.608274          
3.773330       0.0020134764        0.0000280620        197.608274          
3.792425       0.0019738617        0.0000282447        198.608274          
3.812022       0.0019426189        0.0000277578        194.515755          
3.832123       0.0020009653        0.0000287507        190.652861          
3.851218       0.0019444851        0.0000290482        201.687222          
3.870312       0.0019489464        0.0000293662        202.687222          
3.889407       0.0019247976        0.0000289427        203.687222          
3.909005       0.0018903681        0.0000299995        199.464473          
3.929105       0.0019432251        0.0000295330        195.477861          
3.949205       0.0019118065        0.0000300526        196.477861          
3.969305       0.0018980758        0.0000313317        197.477861          
3.989405       0.0019471099        0.0000340711        198.477861          
4.010008       0.0018587837        0.0000426368        194.636937          
4.031113       0.0020331249        0.0000555462        191.002724          
4.052218       0.0018703807        0.0000824408        192.002724          
4.072318       0.0020762280        0.0001347493        202.602861          
4.093422       0.0020396347        0.0002270343        193.955105          
4.114025       0.0019578097        0.0004384464        199.685718          
4.135130       0.0034553364        0.0009561265        195.931296          
4.156235       0.0020759070        0.0021717309        196.931296          
4.177340       -0.0035167045       0.0053740402        197.931296          
4.219550       0.0155035190        0.0252091228        99.965648           
