Wavelength     Transit Depth       Err_Transit Depth   Resolution          
2.412310       0.0021379890        0.0000797412        196.398593          
2.425123       0.0022391787        0.0000566149        189.277854          
2.437183       0.0022177834        0.0000441000        202.088101          
2.450248       0.0021597391        0.0000414868        187.542863          
2.462308       0.0022761172        0.0000401012        204.171434          
2.474368       0.0022072857        0.0000396691        205.171434          
2.486428       0.0023057352        0.0000392972        206.171434          
2.499493       0.0023037534        0.0000377149        191.312093          
2.512055       0.0023255608        0.0000375906        199.964577          
2.525120       0.0023385208        0.0000372884        193.273632          
2.538185       0.0023872721        0.0000368716        194.273632          
2.551250       0.0023896868        0.0000365901        195.273632          
2.564315       0.0024534280        0.0000364134        196.273632          
2.577380       0.0023859034        0.0000361690        197.273632          
2.590445       0.0024029547        0.0000355377        198.273632          
2.604013       0.0024123401        0.0000348833        191.930164          
2.617078       0.0023802865        0.0000346773        200.312093          
2.630142       0.0023565093        0.0000346069        201.312093          
2.643207       0.0023939954        0.0000344421        202.312093          
2.656273       0.0023895970        0.0000329614        203.312093          
2.670342       0.0024174056        0.0000339846        189.789801          
2.683407       0.0024163577        0.0000338215        205.389016          
2.696473       0.0024101278        0.0000324490        206.389016          
2.710040       0.0024943658        0.0000334522        199.744979          
2.724110       0.0024529473        0.0000320148        193.611230          
2.738180       0.0023600679        0.0000318885        194.611230          
2.752250       0.0023827373        0.0000307901        195.611230          
2.766320       0.0024358718        0.0000330551        196.611230          
2.780390       0.0024578135        0.0000316584        197.611230          
2.794460       0.0024450717        0.0000302598        198.611230          
2.809032       0.0024533026        0.0000311156        192.762566          
2.823103       0.0024245283        0.0000310377        200.646944          
2.838178       0.0023639004        0.0000299262        188.270481          
2.852247       0.0024101363        0.0000309069        202.718372          
2.866318       0.0024157145        0.0000308239        203.718372          
2.881393       0.0024649858        0.0000297132        191.137148          
2.895462       0.0024352598        0.0000307113        205.789801          
2.910035       0.0023970800        0.0000296862        199.693601          
2.925110       0.0024349042        0.0000296775        194.037148          
2.940185       0.0023311059        0.0000297017        195.037148          
2.955260       0.0024159938        0.0000297321        196.037148          
2.970335       0.0023985947        0.0000297188        197.037148          
2.985410       0.0023320295        0.0000296299        198.037148          
3.000987       0.0023719011        0.0000294806        192.648853          
3.016062       0.0023602183        0.0000293669        200.070481          
3.031137       0.0022813459        0.0000293227        201.070481          
3.046213       0.0023922441        0.0000293700        202.070481          
3.061288       0.0023051891        0.0000294527        203.070481          
3.076363       0.0022040895        0.0000285322        204.070481          
3.092443       0.0022750444        0.0000284699        192.316076          
3.108020       0.0022790913        0.0000293542        199.519820          
3.124100       0.0022716918        0.0000283520        194.284826          
3.140180       0.0022349352        0.0000274787        195.284826          
3.156260       0.0022801304        0.0000292393        196.284826          
3.172340       0.0022581559        0.0000282925        197.284826          
3.188420       0.0022637291        0.0000274245        198.284826          
3.205002       0.0022334485        0.0000282974        193.276195          
3.221083       0.0021969718        0.0000283548        200.316076          
3.237163       0.0021820039        0.0000284054        201.316076          
3.254247       0.0021374595        0.0000276027        190.473954          
3.270328       0.0021808765        0.0000284728        203.378576          
3.286408       0.0020956497        0.0000276134        204.378576          
3.303995       0.0022470254        0.0000276485        187.860412          
3.321080       0.0022237134        0.0000276617        194.385718          
3.338165       0.0022173989        0.0000276528        195.385718          
3.355250       0.0021959559        0.0000276200        196.385718          
3.372335       0.0022023005        0.0000275789        197.385718          
3.389420       0.0021566564        0.0000275536        198.385718          
3.407008       0.0021748782        0.0000276150        193.717555          
3.424092       0.0021578305        0.0000277055        200.415130          
3.441177       0.0021255310        0.0000269975        201.415130          
3.459268       0.0021160194        0.0000270480        191.225401          
3.477358       0.0021251390        0.0000270612        192.225401          
3.495448       0.0021383053        0.0000270685        193.225401          
3.513035       0.0020977691        0.0000279268        199.746127          
3.531125       0.0021199931        0.0000272170        195.197623          
3.549215       0.0021235659        0.0000273293        196.197623          
3.567305       0.0020609272        0.0000274402        197.197623          
3.585395       0.0020597000        0.0000267965        198.197623          
3.603988       0.0020588997        0.0000276138        193.840930          
3.623083       0.0020809397        0.0000269632        189.739853          
3.641173       0.0020328766        0.0000278044        201.280956          
3.660267       0.0020362446        0.0000271759        191.687222          
3.678358       0.0020435614        0.0000280373        203.336512          
3.697452       0.0020180059        0.0000274291        193.634590          
3.716045       0.0020171438        0.0000276014        199.867958          
3.735140       0.0020026356        0.0000277525        195.608274          
3.754235       0.0019819863        0.0000279024        196.608274          
3.773330       0.0020018957        0.0000280618        197.608274          
3.792425       0.0019825626        0.0000282445        198.608274          
3.812022       0.0019333016        0.0000277576        194.515755          
3.832123       0.0019144699        0.0000287505        190.652861          
3.851218       0.0019457849        0.0000290480        201.687222          
3.870312       0.0019557342        0.0000293660        202.687222          
3.889407       0.0019595425        0.0000289425        203.687222          
3.909005       0.0019347960        0.0000299993        199.464473          
3.929105       0.0019823851        0.0000295328        195.477861          
3.949205       0.0018998621        0.0000300524        196.477861          
3.969305       0.0019590443        0.0000313315        197.477861          
3.989405       0.0019298559        0.0000340709        198.477861          
4.010008       0.0019092272        0.0000426365        194.636937          
4.031113       0.0018524693        0.0000555459        191.002724          
4.052218       0.0019823501        0.0000824405        192.002724          
4.072318       0.0020433485        0.0001347489        202.602861          
4.093422       0.0021724430        0.0002270337        193.955105          
4.114025       0.0018793139        0.0004384457        199.685718          
4.135130       0.0005306671        0.0009561253        195.931296          
4.156235       0.0029319370        0.0021717285        196.931296          
4.177340       0.0018025880        0.0053740288        197.931296          
4.219550       -0.0040832791       0.0252090405        99.965648           
