Wavelength     Transit Depth       Err_Transit Depth   Resolution          
2.412310       0.0017243104        0.0000797712        196.398593          
2.425123       0.0016623272        0.0000566369        189.277854          
2.437183       0.0015976722        0.0000441177        202.088101          
2.450248       0.0016762258        0.0000415039        187.542863          
2.462308       0.0016956824        0.0000401182        204.171434          
2.474368       0.0016631526        0.0000396864        205.171434          
2.486428       0.0016324765        0.0000393147        206.171434          
2.499493       0.0016822870        0.0000377322        191.312093          
2.512055       0.0018010969        0.0000376086        199.964577          
2.525120       0.0017142836        0.0000373064        193.273632          
2.538185       0.0017037001        0.0000368897        194.273632          
2.551250       0.0016790557        0.0000366085        195.273632          
2.564315       0.0017742175        0.0000364318        196.273632          
2.577380       0.0017418398        0.0000361870        197.273632          
2.590445       0.0017001272        0.0000355552        198.273632          
2.604013       0.0017063506        0.0000349002        191.930164          
2.617078       0.0017137703        0.0000346939        200.312093          
2.630142       0.0017452636        0.0000346234        201.312093          
2.643207       0.0017257150        0.0000344584        202.312093          
2.656273       0.0017165065        0.0000329771        203.312093          
2.670342       0.0017457711        0.0000340012        189.789801          
2.683407       0.0017971277        0.0000338385        205.389016          
2.696473       0.0017838633        0.0000324656        206.389016          
2.710040       0.0017539219        0.0000334694        199.744979          
2.724110       0.0017902590        0.0000320310        193.611230          
2.738180       0.0017409611        0.0000319041        194.611230          
2.752250       0.0017753573        0.0000308051        195.611230          
2.766320       0.0017887294        0.0000330716        196.611230          
2.780390       0.0017516129        0.0000316743        197.611230          
2.794460       0.0017358589        0.0000302749        198.611230          
2.809032       0.0017685948        0.0000311316        192.762566          
2.823103       0.0017021416        0.0000310535        200.646944          
2.838178       0.0017741292        0.0000299415        188.270481          
2.852247       0.0017528258        0.0000309225        202.718372          
2.866318       0.0017403135        0.0000308392        203.718372          
2.881393       0.0017808594        0.0000297279        191.137148          
2.895462       0.0017472529        0.0000307268        205.789801          
2.910035       0.0017085967        0.0000297013        199.693601          
2.925110       0.0017556337        0.0000296922        194.037148          
2.940185       0.0017280003        0.0000297162        195.037148          
2.955260       0.0017785035        0.0000297465        196.037148          
2.970335       0.0017601016        0.0000297331        197.037148          
2.985410       0.0016598600        0.0000296439        198.037148          
3.000987       0.0016847028        0.0000294945        192.648853          
3.016062       0.0016943165        0.0000293804        200.070481          
3.031137       0.0016878522        0.0000293361        201.070481          
3.046213       0.0017665620        0.0000293834        202.070481          
3.061288       0.0016962906        0.0000294657        203.070481          
3.076363       0.0017499526        0.0000285446        204.070481          
3.092443       0.0016711332        0.0000284822        192.316076          
3.108020       0.0017481906        0.0000293669        199.519820          
3.124100       0.0016623070        0.0000283641        194.284826          
3.140180       0.0017120201        0.0000274905        195.284826          
3.156260       0.0016737333        0.0000292519        196.284826          
3.172340       0.0016636077        0.0000283045        197.284826          
3.188420       0.0017489243        0.0000274361        198.284826          
3.205002       0.0016904172        0.0000283095        193.276195          
3.221083       0.0016965820        0.0000283667        200.316076          
3.237163       0.0016372616        0.0000284171        201.316076          
3.254247       0.0015944988        0.0000276139        190.473954          
3.270328       0.0016511656        0.0000284843        203.378576          
3.286408       0.0016700634        0.0000276246        204.378576          
3.303995       0.0016457917        0.0000276600        187.860412          
3.321080       0.0016347652        0.0000276737        194.385718          
3.338165       0.0016559354        0.0000276648        195.385718          
3.355250       0.0016240037        0.0000276317        196.385718          
3.372335       0.0016394827        0.0000275903        197.385718          
3.389420       0.0016458821        0.0000275650        198.385718          
3.407008       0.0016743746        0.0000276264        193.717555          
3.424092       0.0016401044        0.0000277169        200.415130          
3.441177       0.0016459977        0.0000270085        201.415130          
3.459268       0.0016565104        0.0000270589        191.225401          
3.477358       0.0015773589        0.0000270721        192.225401          
3.495448       0.0016110430        0.0000270794        193.225401          
3.513035       0.0015622531        0.0000279378        199.746127          
3.531125       0.0015640412        0.0000272276        195.197623          
3.549215       0.0016225237        0.0000273398        196.197623          
3.567305       0.0015971314        0.0000274506        197.197623          
3.585395       0.0015783868        0.0000268065        198.197623          
3.603988       0.0015608562        0.0000276240        193.840930          
3.623083       0.0015249825        0.0000269731        189.739853          
3.641173       0.0015384226        0.0000278144        201.280956          
3.660267       0.0015752517        0.0000271856        191.687222          
3.678358       0.0015653350        0.0000280471        203.336512          
3.697452       0.0015729211        0.0000274386        193.634590          
3.716045       0.0015299418        0.0000276109        199.867958          
3.735140       0.0014857696        0.0000277620        195.608274          
3.754235       0.0015874742        0.0000279119        196.608274          
3.773330       0.0014949263        0.0000280712        197.608274          
3.792425       0.0015438470        0.0000282540        198.608274          
3.812022       0.0014975192        0.0000277668        194.515755          
3.832123       0.0015501773        0.0000287598        190.652861          
3.851218       0.0015287919        0.0000290574        201.687222          
3.870312       0.0015024004        0.0000293755        202.687222          
3.889407       0.0015075788        0.0000289518        203.687222          
3.909005       0.0015100081        0.0000300088        199.464473          
3.929105       0.0015098063        0.0000295421        195.477861          
3.949205       0.0014788593        0.0000300618        196.477861          
3.969305       0.0014728244        0.0000313413        197.477861          
3.989405       0.0015115034        0.0000340814        198.477861          
4.010008       0.0015544160        0.0000426495        194.636937          
4.031113       0.0015836978        0.0000555626        191.002724          
4.052218       0.0016224440        0.0000824648        192.002724          
4.072318       0.0015663576        0.0001347868        202.602861          
4.093422       0.0018317951        0.0002270941        193.955105          
4.114025       0.0027649481        0.0004385557        199.685718          
4.135130       0.0015695059        0.0009563538        195.931296          
4.156235       0.0029119026        0.0021722310        196.931296          
4.177340       -0.0044881150       0.0053752149        197.931296          
4.219550       -0.0156922852       0.0252145689        99.965648           
