Wavelength     Transit Depth       Err_Transit Depth   Resolution          
2.412310       0.0022503094        0.0000797390        196.398593          
2.425123       0.0022243537        0.0000566131        189.277854          
2.437183       0.0023041817        0.0000440985        202.088101          
2.450248       0.0023689664        0.0000414853        187.542863          
2.462308       0.0022723495        0.0000400997        204.171434          
2.474368       0.0023631114        0.0000396676        205.171434          
2.486428       0.0023216095        0.0000392957        206.171434          
2.499493       0.0023355437        0.0000377135        191.312093          
2.512055       0.0024147994        0.0000375892        199.964577          
2.525120       0.0024586267        0.0000372870        193.273632          
2.538185       0.0024363877        0.0000368702        194.273632          
2.551250       0.0024716245        0.0000365888        195.273632          
2.564315       0.0024188646        0.0000364121        196.273632          
2.577380       0.0024816302        0.0000361677        197.273632          
2.590445       0.0023909253        0.0000355363        198.273632          
2.604013       0.0023790425        0.0000348819        191.930164          
2.617078       0.0024187027        0.0000346758        200.312093          
2.630142       0.0024430067        0.0000346053        201.312093          
2.643207       0.0024636912        0.0000344404        202.312093          
2.656273       0.0024571488        0.0000329594        203.312093          
2.670342       0.0024243425        0.0000339824        189.789801          
2.683407       0.0024653101        0.0000338194        205.389016          
2.696473       0.0025059949        0.0000324468        206.389016          
2.710040       0.0025647989        0.0000334500        199.744979          
2.724110       0.0025202650        0.0000320128        193.611230          
2.738180       0.0025378964        0.0000318864        194.611230          
2.752250       0.0025111824        0.0000307882        195.611230          
2.766320       0.0024909381        0.0000330531        196.611230          
2.780390       0.0025576724        0.0000316565        197.611230          
2.794460       0.0025249212        0.0000302579        198.611230          
2.809032       0.0025365623        0.0000311137        192.762566          
2.823103       0.0025291315        0.0000310358        200.646944          
2.838178       0.0024859518        0.0000299244        188.270481          
2.852247       0.0024790728        0.0000309051        202.718372          
2.866318       0.0024958121        0.0000308222        203.718372          
2.881393       0.0024539217        0.0000297116        191.137148          
2.895462       0.0025541314        0.0000307096        205.789801          
2.910035       0.0025023873        0.0000296847        199.693601          
2.925110       0.0025126568        0.0000296759        194.037148          
2.940185       0.0024035001        0.0000297002        195.037148          
2.955260       0.0024898849        0.0000297305        196.037148          
2.970335       0.0024238226        0.0000297172        197.037148          
2.985410       0.0024602813        0.0000296283        198.037148          
3.000987       0.0024374776        0.0000294790        192.648853          
3.016062       0.0023981859        0.0000293653        200.070481          
3.031137       0.0024371588        0.0000293211        201.070481          
3.046213       0.0023507489        0.0000293684        202.070481          
3.061288       0.0023418071        0.0000294512        203.070481          
3.076363       0.0023236380        0.0000285308        204.070481          
3.092443       0.0022779422        0.0000284686        192.316076          
3.108020       0.0022937968        0.0000293529        199.519820          
3.124100       0.0022945705        0.0000283508        194.284826          
3.140180       0.0023051705        0.0000274777        195.284826          
3.156260       0.0023374149        0.0000292383        196.284826          
3.172340       0.0022809645        0.0000282916        197.284826          
3.188420       0.0022735261        0.0000274236        198.284826          
3.205002       0.0022692788        0.0000282965        193.276195          
3.221083       0.0022844156        0.0000283540        200.316076          
3.237163       0.0022223482        0.0000284046        201.316076          
3.254247       0.0022145842        0.0000276020        190.473954          
3.270328       0.0022224143        0.0000284721        203.378576          
3.286408       0.0022134710        0.0000276127        204.378576          
3.303995       0.0021953655        0.0000276479        187.860412          
3.321080       0.0022663445        0.0000276616        194.385718          
3.338165       0.0022305650        0.0000276527        195.385718          
3.355250       0.0021929156        0.0000276198        196.385718          
3.372335       0.0021686041        0.0000275785        197.385718          
3.389420       0.0021881956        0.0000275532        198.385718          
3.407008       0.0022207873        0.0000276145        193.717555          
3.424092       0.0021392511        0.0000277051        200.415130          
3.441177       0.0022251039        0.0000269972        201.415130          
3.459268       0.0021702617        0.0000270477        191.225401          
3.477358       0.0021564116        0.0000270609        192.225401          
3.495448       0.0021895589        0.0000270682        193.225401          
3.513035       0.0021350491        0.0000279265        199.746127          
3.531125       0.0021135751        0.0000272167        195.197623          
3.549215       0.0020817653        0.0000273290        196.197623          
3.567305       0.0021512410        0.0000274399        197.197623          
3.585395       0.0020771796        0.0000267962        198.197623          
3.603988       0.0021106933        0.0000276135        193.840930          
3.623083       0.0020583880        0.0000269630        189.739853          
3.641173       0.0020333585        0.0000278041        201.280956          
3.660267       0.0020784864        0.0000271756        191.687222          
3.678358       0.0020069711        0.0000280369        203.336512          
3.697452       0.0020390750        0.0000274288        193.634590          
3.716045       0.0019883575        0.0000276011        199.867958          
3.735140       0.0020093876        0.0000277522        195.608274          
3.754235       0.0020142458        0.0000279020        196.608274          
3.773330       0.0019722334        0.0000280614        197.608274          
3.792425       0.0020243105        0.0000282442        198.608274          
3.812022       0.0019850700        0.0000277572        194.515755          
3.832123       0.0019932884        0.0000287500        190.652861          
3.851218       0.0019771610        0.0000290476        201.687222          
3.870312       0.0020023522        0.0000293656        202.687222          
3.889407       0.0019384504        0.0000289421        203.687222          
3.909005       0.0019545725        0.0000299988        199.464473          
3.929105       0.0019298832        0.0000295322        195.477861          
3.949205       0.0019851652        0.0000300518        196.477861          
3.969305       0.0019277220        0.0000313308        197.477861          
3.989405       0.0019806814        0.0000340701        198.477861          
4.010008       0.0020542953        0.0000426354        194.636937          
4.031113       0.0019803188        0.0000555443        191.002724          
4.052218       0.0019194172        0.0000824379        192.002724          
4.072318       0.0020036245        0.0001347441        202.602861          
4.093422       0.0017511400        0.0002270262        193.955105          
4.114025       0.0024929524        0.0004384325        199.685718          
4.135130       0.0026961152        0.0009560974        195.931296          
4.156235       0.0016790334        0.0021716514        196.931296          
4.177340       -0.0014675562       0.0053736256        197.931296          
4.219550       -0.0171450672       0.0252063496        99.965648           
