Wavelength     Transit Depth       Err_Transit Depth   Resolution          
2.412310       0.0021513780        0.0000797416        196.398593          
2.425123       0.0020786898        0.0000566151        189.277854          
2.437183       0.0021676500        0.0000441002        202.088101          
2.450248       0.0021858664        0.0000414869        187.542863          
2.462308       0.0022521803        0.0000401013        204.171434          
2.474368       0.0022730542        0.0000396691        205.171434          
2.486428       0.0023109901        0.0000392972        206.171434          
2.499493       0.0022813810        0.0000377149        191.312093          
2.512055       0.0023701644        0.0000375906        199.964577          
2.525120       0.0023500080        0.0000372884        193.273632          
2.538185       0.0023286229        0.0000368716        194.273632          
2.551250       0.0024637024        0.0000365901        195.273632          
2.564315       0.0024104172        0.0000364134        196.273632          
2.577380       0.0024062116        0.0000361690        197.273632          
2.590445       0.0023975925        0.0000355377        198.273632          
2.604013       0.0023989893        0.0000348833        191.930164          
2.617078       0.0023369236        0.0000346773        200.312093          
2.630142       0.0024193336        0.0000346069        201.312093          
2.643207       0.0023612225        0.0000344421        202.312093          
2.656273       0.0024215109        0.0000329614        203.312093          
2.670342       0.0023959777        0.0000339846        189.789801          
2.683407       0.0023798585        0.0000338215        205.389016          
2.696473       0.0023995989        0.0000324490        206.389016          
2.710040       0.0024369567        0.0000334522        199.744979          
2.724110       0.0024564834        0.0000320148        193.611230          
2.738180       0.0024382174        0.0000318885        194.611230          
2.752250       0.0023857865        0.0000307901        195.611230          
2.766320       0.0024118108        0.0000330551        196.611230          
2.780390       0.0024055312        0.0000316584        197.611230          
2.794460       0.0023840778        0.0000302598        198.611230          
2.809032       0.0024197586        0.0000311156        192.762566          
2.823103       0.0024521247        0.0000310377        200.646944          
2.838178       0.0024742373        0.0000299262        188.270481          
2.852247       0.0025019518        0.0000309068        202.718372          
2.866318       0.0024285365        0.0000308239        203.718372          
2.881393       0.0023593212        0.0000297131        191.137148          
2.895462       0.0024677980        0.0000307113        205.789801          
2.910035       0.0024978958        0.0000296862        199.693601          
2.925110       0.0023882503        0.0000296775        194.037148          
2.940185       0.0023336479        0.0000297017        195.037148          
2.955260       0.0024302367        0.0000297321        196.037148          
2.970335       0.0023922352        0.0000297188        197.037148          
2.985410       0.0023911207        0.0000296299        198.037148          
3.000987       0.0023253203        0.0000294806        192.648853          
3.016062       0.0023318115        0.0000293669        200.070481          
3.031137       0.0023698975        0.0000293227        201.070481          
3.046213       0.0023389236        0.0000293700        202.070481          
3.061288       0.0023186298        0.0000294527        203.070481          
3.076363       0.0022361774        0.0000285322        204.070481          
3.092443       0.0022831563        0.0000284700        192.316076          
3.108020       0.0022249091        0.0000293543        199.519820          
3.124100       0.0022482703        0.0000283521        194.284826          
3.140180       0.0022553730        0.0000274789        195.284826          
3.156260       0.0022319844        0.0000292395        196.284826          
3.172340       0.0021978567        0.0000282926        197.284826          
3.188420       0.0022528028        0.0000274246        198.284826          
3.205002       0.0022670956        0.0000282975        193.276195          
3.221083       0.0022623865        0.0000283549        200.316076          
3.237163       0.0022210570        0.0000284055        201.316076          
3.254247       0.0021650796        0.0000276029        190.473954          
3.270328       0.0021476276        0.0000284730        203.378576          
3.286408       0.0021646656        0.0000276136        204.378576          
3.303995       0.0021440719        0.0000276486        187.860412          
3.321080       0.0022505704        0.0000276620        194.385718          
3.338165       0.0021736639        0.0000276531        195.385718          
3.355250       0.0022068294        0.0000276202        196.385718          
3.372335       0.0022107967        0.0000275791        197.385718          
3.389420       0.0022372946        0.0000275538        198.385718          
3.407008       0.0021605044        0.0000276152        193.717555          
3.424092       0.0021281012        0.0000277057        200.415130          
3.441177       0.0021746526        0.0000269977        201.415130          
3.459268       0.0021286391        0.0000270482        191.225401          
3.477358       0.0020883264        0.0000270615        192.225401          
3.495448       0.0021358103        0.0000270688        193.225401          
3.513035       0.0021391510        0.0000279271        199.746127          
3.531125       0.0021164204        0.0000272172        195.197623          
3.549215       0.0020849881        0.0000273295        196.197623          
3.567305       0.0020795518        0.0000274404        197.197623          
3.585395       0.0021376782        0.0000267967        198.197623          
3.603988       0.0020455130        0.0000276141        193.840930          
3.623083       0.0020388479        0.0000269635        189.739853          
3.641173       0.0020168498        0.0000278047        201.280956          
3.660267       0.0019614025        0.0000271762        191.687222          
3.678358       0.0019658948        0.0000280376        203.336512          
3.697452       0.0020128102        0.0000274295        193.634590          
3.716045       0.0020094475        0.0000276018        199.867958          
3.735140       0.0019247065        0.0000277529        195.608274          
3.754235       0.0019961615        0.0000279028        196.608274          
3.773330       0.0019805721        0.0000280622        197.608274          
3.792425       0.0019444505        0.0000282449        198.608274          
3.812022       0.0019477460        0.0000277579        194.515755          
3.832123       0.0019000387        0.0000287508        190.652861          
3.851218       0.0019015232        0.0000290484        201.687222          
3.870312       0.0019244363        0.0000293664        202.687222          
3.889407       0.0018908280        0.0000289429        203.687222          
3.909005       0.0018964739        0.0000299997        199.464473          
3.929105       0.0019318207        0.0000295331        195.477861          
3.949205       0.0019605632        0.0000300527        196.477861          
3.969305       0.0019010658        0.0000313318        197.477861          
3.989405       0.0019040697        0.0000340713        198.477861          
4.010008       0.0019181497        0.0000426369        194.636937          
4.031113       0.0018973299        0.0000555463        191.002724          
4.052218       0.0018361769        0.0000824411        192.002724          
4.072318       0.0019014654        0.0001347495        202.602861          
4.093422       0.0020427524        0.0002270346        193.955105          
4.114025       0.0020902149        0.0004384470        199.685718          
4.135130       0.0014778280        0.0009561273        195.931296          
4.156235       0.0025250691        0.0021717325        196.931296          
4.177340       0.0018903715        0.0053740482        197.931296          
4.219550       0.0056444270        0.0252091808        99.965648           
